season,pausa_year,k,date,pred_day,pred_night,pred_any,obs_mm,obs_wet,obs_trace
2008-09,2008,1,2008-12-28,1,1,1,0.0,0,0
2008-09,2008,2,2008-12-29,1,1,1,0.0,0,0
2008-09,2008,3,2008-12-30,1,1,1,0.0,0,0
2008-09,2008,4,2008-12-31,1,1,1,0.0,0,0
2008-09,2008,5,2009-01-01,1,1,1,0.0,0,0
2008-09,2008,6,2009-01-02,1,1,1,0.0,0,0
2008-09,2008,7,2009-01-03,1,1,1,0.0,0,0
2008-09,2008,8,2009-01-04,1,1,1,0.0,0,0
2008-09,2008,9,2009-01-05,0,1,1,0.0,0,0
2008-09,2008,10,2009-01-06,1,1,1,0.0,0,0
2008-09,2008,11,2009-01-07,1,1,1,0.0,0,0
2008-09,2008,12,2009-01-08,1,1,1,0.0,0,0
2008-09,2008,13,2009-01-09,1,1,1,0.0,0,0
2008-09,2008,14,2009-01-10,0,0,0,0.0,0,0
2008-09,2008,15,2009-01-11,0,1,1,0.0,0,0
2008-09,2008,16,2009-01-12,1,1,1,0.0,0,0
2008-09,2008,17,2009-01-13,1,1,1,0.0,0,0
2008-09,2008,18,2009-01-14,1,1,1,0.0,0,0
2008-09,2008,19,2009-01-15,1,1,1,0.0,0,0
2008-09,2008,20,2009-01-16,1,1,1,0.0,0,0
2008-09,2008,21,2009-01-17,1,1,1,0.0,0,0
2008-09,2008,22,2009-01-18,1,1,1,0.0,0,0
2008-09,2008,23,2009-01-19,1,1,1,0.0,0,0
2008-09,2008,24,2009-01-20,1,1,1,0.0,0,0
2008-09,2008,25,2009-01-21,1,1,1,0.0,0,0
2008-09,2008,26,2009-01-22,1,1,1,0.0,0,0
2008-09,2008,27,2009-01-23,1,1,1,0.0,0,0
2008-09,2008,28,2009-01-24,1,1,1,0.0,0,0
2008-09,2008,29,2009-01-25,1,1,1,0.0,0,0
2008-09,2008,30,2009-01-26,1,1,1,0.0,0,0
2009-10,2009,1,2009-12-16,1,1,1,0.0,0,0
2009-10,2009,2,2009-12-17,1,0,1,0.0,0,0
2009-10,2009,3,2009-12-18,1,1,1,0.0,0,0
2009-10,2009,4,2009-12-19,1,1,1,0.0,0,0
2009-10,2009,5,2009-12-20,1,1,1,0.0,0,0
2009-10,2009,6,2009-12-21,1,1,1,0.1,0,1
2009-10,2009,7,2009-12-22,1,1,1,0.3,0,1
2009-10,2009,8,2009-12-23,1,1,1,0.0,0,0
2009-10,2009,9,2009-12-24,0,1,1,0.0,0,0
2009-10,2009,10,2009-12-25,1,1,1,0.0,0,0
2009-10,2009,11,2009-12-26,0,0,0,0.0,0,0
2009-10,2009,12,2009-12-27,0,0,0,0.0,0,0
2009-10,2009,13,2009-12-28,0,0,0,0.0,0,0
2009-10,2009,14,2009-12-29,0,0,0,0.0,0,0
2009-10,2009,15,2009-12-30,1,1,1,0.0,0,0
2009-10,2009,16,2009-12-31,0,0,0,0.0,0,0
2009-10,2009,17,2010-01-01,1,1,1,0.0,0,0
2009-10,2009,18,2010-01-02,1,1,1,0.0,0,0
2009-10,2009,19,2010-01-03,1,1,1,0.0,0,0
2009-10,2009,20,2010-01-04,1,1,1,0.0,0,0
2009-10,2009,21,2010-01-05,0,1,1,0.0,0,0
2009-10,2009,22,2010-01-06,1,1,1,0.0,0,0
2009-10,2009,23,2010-01-07,0,0,0,0.0,0,0
2009-10,2009,24,2010-01-08,0,1,1,0.0,0,0
2009-10,2009,25,2010-01-09,0,0,0,0.0,0,0
2009-10,2009,26,2010-01-10,0,0,0,0.0,0,0
2009-10,2009,27,2010-01-11,0,0,0,0.0,0,0
2009-10,2009,28,2010-01-12,1,1,1,0.0,0,0
2009-10,2009,29,2010-01-13,1,1,1,0.0,0,0
2009-10,2009,30,2010-01-14,1,1,1,0.0,0,0
2010-11,2010,1,2010-12-05,0,0,0,0.0,0,0
2010-11,2010,2,2010-12-06,0,0,0,0.0,0,0
2010-11,2010,3,2010-12-07,0,0,0,0.0,0,0
2010-11,2010,4,2010-12-08,0,0,0,0.0,0,0
2010-11,2010,5,2010-12-09,1,1,1,0.0,0,0
2010-11,2010,6,2010-12-10,1,1,1,0.0,0,0
2010-11,2010,7,2010-12-11,0,0,0,0.0,0,0
2010-11,2010,8,2010-12-12,0,0,0,0.0,0,0
2010-11,2010,9,2010-12-13,0,0,0,0.0,0,0
2010-11,2010,10,2010-12-14,0,0,0,0.0,0,0
2010-11,2010,11,2010-12-15,0,0,0,0.0,0,0
2010-11,2010,12,2010-12-16,0,0,0,0.0,0,0
2010-11,2010,13,2010-12-17,0,0,0,0.0,0,0
2010-11,2010,14,2010-12-18,0,0,0,0.0,0,0
2010-11,2010,15,2010-12-19,0,0,0,0.0,0,0
2010-11,2010,16,2010-12-20,0,0,0,0.0,0,0
2010-11,2010,17,2010-12-21,0,0,0,0.0,0,0
2010-11,2010,18,2010-12-22,0,0,0,0.0,0,0
2010-11,2010,19,2010-12-23,0,0,0,0.0,0,0
2010-11,2010,20,2010-12-24,0,0,0,0.0,0,0
2010-11,2010,21,2010-12-25,0,0,0,0.0,0,0
2010-11,2010,22,2010-12-26,0,0,0,0.0,0,0
2010-11,2010,23,2010-12-27,0,0,0,0.0,0,0
2010-11,2010,24,2010-12-28,0,0,0,0.1,0,1
2010-11,2010,25,2010-12-29,0,0,0,0.1,0,1
2010-11,2010,26,2010-12-30,0,0,0,0.0,0,0
2010-11,2010,27,2010-12-31,0,1,1,0.0,0,0
2010-11,2010,28,2011-01-01,0,0,0,0.0,0,0
2010-11,2010,29,2011-01-02,0,0,0,0.0,0,0
2010-11,2010,30,2011-01-03,0,0,0,0.0,0,0
2011-12,2011,1,2011-12-24,0,0,0,0.0,0,0
2011-12,2011,2,2011-12-25,0,0,0,0.0,0,0
2011-12,2011,3,2011-12-26,0,0,0,0.0,0,0
2011-12,2011,4,2011-12-27,0,1,1,0.0,0,0
2011-12,2011,5,2011-12-28,1,1,1,0.0,0,0
2011-12,2011,6,2011-12-29,1,1,1,0.0,0,0
2011-12,2011,7,2011-12-30,1,1,1,0.0,0,0
2011-12,2011,8,2011-12-31,1,1,1,0.0,0,0
2011-12,2011,9,2012-01-01,1,1,1,0.0,0,0
2011-12,2011,10,2012-01-02,1,1,1,0.0,0,0
2011-12,2011,11,2012-01-03,1,1,1,0.0,0,0
2011-12,2011,12,2012-01-04,0,1,1,0.0,0,0
2011-12,2011,13,2012-01-05,1,1,1,0.0,0,0
2011-12,2011,14,2012-01-06,1,0,1,0.0,0,0
2011-12,2011,15,2012-01-07,0,1,1,0.0,0,0
2011-12,2011,16,2012-01-08,1,1,1,0.0,0,0
2011-12,2011,17,2012-01-09,1,1,1,0.0,0,0
2011-12,2011,18,2012-01-10,1,1,1,0.0,0,0
2011-12,2011,19,2012-01-11,1,1,1,0.0,0,0
2011-12,2011,20,2012-01-12,1,1,1,0.0,0,0
2011-12,2011,21,2012-01-13,1,1,1,0.0,0,0
2011-12,2011,22,2012-01-14,0,0,0,0.0,0,0
2011-12,2011,23,2012-01-15,1,1,1,0.0,0,0
2011-12,2011,24,2012-01-16,1,0,1,0.0,0,0
2011-12,2011,25,2012-01-17,0,0,0,0.0,0,0
2011-12,2011,26,2012-01-18,0,0,0,0.0,0,0
2011-12,2011,27,2012-01-19,0,0,0,0.0,0,0
2011-12,2011,28,2012-01-20,1,1,1,0.0,0,0
2011-12,2011,29,2012-01-21,1,1,1,0.0,0,0
2011-12,2011,30,2012-01-22,1,1,1,0.0,0,0
2012-13,2012,1,2012-12-13,1,0,1,0.0,0,0
2012-13,2012,2,2012-12-14,0,0,0,0.0,0,0
2012-13,2012,3,2012-12-15,0,0,0,0.0,0,0
2012-13,2012,4,2012-12-16,0,1,1,0.0,0,0
2012-13,2012,5,2012-12-17,1,1,1,0.0,0,0
2012-13,2012,6,2012-12-18,1,1,1,0.0,0,0
2012-13,2012,7,2012-12-19,0,0,0,0.0,0,0
2012-13,2012,8,2012-12-20,0,1,1,0.0,0,0
2012-13,2012,9,2012-12-21,1,1,1,0.0,0,0
2012-13,2012,10,2012-12-22,1,1,1,0.0,0,0
2012-13,2012,11,2012-12-23,1,1,1,0.0,0,0
2012-13,2012,12,2012-12-24,1,1,1,0.0,0,0
2012-13,2012,13,2012-12-25,1,1,1,0.0,0,0
2012-13,2012,14,2012-12-26,0,1,1,0.0,0,0
2012-13,2012,15,2012-12-27,1,1,1,0.0,0,0
2012-13,2012,16,2012-12-28,1,1,1,0.0,0,0
2012-13,2012,17,2012-12-29,1,0,1,0.0,0,0
2012-13,2012,18,2012-12-30,0,1,1,0.0,0,0
2012-13,2012,19,2012-12-31,1,1,1,0.0,0,0
2012-13,2012,20,2013-01-01,1,1,1,0.0,0,0
2012-13,2012,21,2013-01-02,1,0,1,0.0,0,0
2012-13,2012,22,2013-01-03,0,0,0,0.0,0,0
2012-13,2012,23,2013-01-04,0,0,0,0.0,0,0
2012-13,2012,24,2013-01-05,0,0,0,0.0,0,0
2012-13,2012,25,2013-01-06,0,0,0,0.0,0,0
2012-13,2012,26,2013-01-07,0,0,0,0.0,0,0
2012-13,2012,27,2013-01-08,0,0,0,0.0,0,0
2012-13,2012,28,2013-01-09,0,0,0,0.0,0,0
